stop_id,stop_code,stop_name,stop_lat,stop_lon
10thSt_E_BecaAve,13709,Highland & Beca,44.577330406,-123.262564056
10thSt_E_BuchananAve,13713,10th & Buchanan,44.576061168,-123.263289933
10thSt_E_DraperPl,13685,Highland & Grant,44.579153453,-123.26247507
10thSt_W_BecaAve,13692,10th & Beca,44.577981724,-123.262629636
11thSt_W_FillmoreAve,13637,11th & Fillmore,44.572781062,-123.266404812
11thSt_W_HarrisonBlvd,13644,11th & Harrison,44.569194271,-123.268131334
11thSt_W_MonroeAve,13659,11th & Monroe,44.566714513,-123.26935285
11thSt_W_PierceWay,13628,11th & Pierce/Corvallis High School [Shelter],44.574713381,-123.265449749
11thSt_W_TylerAve,,11th & Tyler [ Not Used ],44.570225912,-123.267620319
14thAve_N_DavidsonSt,,14th at Heritage Mall,44.628868,-123.079552
14thSt_E_JeffersonAve,13208,14th & Jefferson/OSU [Shelter],44.565029211,-123.273597394
15thSt_E_JeffersonWay,13212,15th & Jefferson/OSU [Shelter],44.563954907,-123.274047463
15thSt_E_WesternBlvd,13188,15th & Western,44.5603757,-123.274013187
15thSt_W_JeffersonWay,13220,15th & Jefferson/OSU [Shelter],44.564159807,-123.27420318
15thSt_W_WashingtonWay,13190,15th & A/OSU,44.56147447,-123.274381819
24thSt_E_NewtonSt,,24th & Newton,44.540648037,-123.350145403
24thSt_W_NewtonSt,,24th & Newton,44.540491417,-123.350360041
26thSt_E_CampusWay,12703,26th & Campus Way,44.567011906,-123.279837498
26thSt_E_IntramuralWay,12719,Dixon Rec Center/OSU,44.563508957,-123.27954305
26thSt_E_JeffersonWay,12695,OSU Bookstore - MU,44.56485698,-123.279867241
26thSt_E_RalphMillerLn,14360,Gill Coliseum/OSU,44.560015811,-123.279509999
26thSt_E_WesternBlvd,12431,LaSells Stewart Ctr/OSU,44.558992785,-123.27945061
26thSt_W_IntramuralWay,12719,Dixon Rec Center/OSU,44.56338661,-123.279705449
26thSt_W_RalphMillerLn,14360,Gill Coliseum/OSU,44.560011334,-123.279852557
26thSt_W_WesternBlvd,,LaSells Stewart Ctr/OSU,44.558917731,-123.279799907
28thAve_S_MadisonSt,,28th & Madison,44.614735,-123.090996
29thSt_E_CircleBlvd,11101,29th & Circle,44.586175151,-123.283017449
29thSt_E_FillmoreAve,12676,29th & Fillmore,44.575846682,-123.283170662
29thSt_E_GarfieldAve,12546,29th & Garfield,44.58342023,-123.283011524
29thSt_E_GrantAve,12567,29th & Grant [Shelter],44.578960618,-123.282975602
29thSt_E_MulkeyAve,12551,29th & Mulkey,44.580938119,-123.282997204
29thSt_E_PolkAve,12682,29th & Tyler,44.573331796,-123.283318607
29thSt_N_ArrowoodCir,12514,29th & Arrowood [Shelter],44.595892852,-123.287140176
29thSt_N_WalnutBlvd,12522,29th & Walnut,44.594381091,-123.284169471
29thSt_W_CircleBlvd,12630,29th & Circle,44.586200546,-123.283202823
